np,nn,delta,I,betaMinusQ,betaMinusQUncertainty,halflife_log_sec,halflife_log_sec_uncertainty,J_i,parity_i,flag_i,J_f,parity_f,flag_f,delta_J,delta_parity
46,74,-1,0.23333333333333334,3.7299742856995555,0.00040598851008460403,-0.30803489723263966,0.02912950793253518,0.0,1,0,4.0,1,1,4.0,1
64,104,-1,0.23809523809523808,3.6655809910179533,0.028140031224832728,0.48000694295715063,0.021570917975327075,0.0,1,0,4.0,-1,1,4.0,-1
89,144,0,0.23605150214592274,3.4099331233312946,0.0022137189544484816,2.155336037465062,0.027333219140764097,0.5,1,1,0.5,1,0,0.0,1
92,148,-1,0.23333333333333334,2.6009728956867484,0.01850377491818366,4.705521613422667,0.0030801027085337013,0.0,1,0,5.0,1,1,5.0,1
44,69,0,0.22123893805309736,3.8382192219076257,0.0024519673941997815,-0.09691001300805639,0.027143405118953235,0.5,1,1,3.5,1,1,3.0,1
51,76,0,0.1968503937007874,3.1986570869544226,0.0013496113330031432,5.520844966846424,0.0033929256398691544,3.5,1,0,1.5,1,0,2.0,1
29,53,1,0.2926829268292683,4.217483944213907,0.010528351076442469,-1.4814860601221125,0.08554285249609504,0.0,0,2,0.0,1,0,-1.0,0
38,61,0,0.23232323232323232,3.9095560292411755,0.0004348293273243149,-0.5702477199975919,0.0016144776278931294,1.5,1,0,2.5,1,1,1.0,1
47,64,0,0.15315315315315314,3.012837224705172,0.0005945196305665873,5.806976174067813,0.000585223665143851,0.5,-1,0,5.5,-1,0,5.0,1
10,19,0,0.3103448275862069,4.195899652409234,0.004121648267744237,-1.853871964321762,0.015510517210830422,1.5,-1,1,1.5,1,0,0.0,-1
43,63,1,0.18867924528301888,3.815577748324267,0.0007304647249137263,1.5526682161121932,0.006082555768953106,1.0,0,1,0.0,1,0,-1.0,0
84,133,0,0.22580645161290322,3.1702617153949575,0.002338734473492511,0.1846914308175988,0.014192630127557249,4.5,1,1,4.5,-1,0,0.0,-1
33,54,0,0.2413793103448276,4.033423755486949,0.0001495903215444534,-0.31515463835558755,0.023329868862571376,1.5,-1,1,1.5,1,1,0.0,-1
36,55,0,0.2087912087912088,3.8305886686851442,0.0005202552803892721,0.9329808219231982,0.002027045423119028,2.5,1,1,1.5,-1,1,1.0,-1
58,92,-1,0.22666666666666666,3.537819095073274,0.0017875309110220799,0.7817553746524689,0.005024894831938451,0.0,1,0,1.0,-1,1,1.0,-1
50,83,0,0.24812030075187969,3.905256048748451,0.00019770121937386835,0.13987908640123647,0.022029430241469295,3.5,-1,0,3.5,1,0,0.0,-1
33,53,1,0.23255813953488372,4.060697840353612,0.00016087778199198717,-0.02502800570193105,0.003680461711044507,1.0,-1,1,0.0,1,0,1.0,-1
49,82,0,0.25190839694656486,3.9656719712201065,0.00019881662970246266,-0.583359492661719,0.004991890596589102,4.5,1,1,1.5,1,0,3.0,1
43,78,0,0.2892561983471074,4.113943352306837,0.021380651416775472,-1.6575773191777938,0.11844394960997777,0.0,0,2,0.0,0,2,-1.0,0
3,6,0,0.3333333333333333,4.133538908370218,6.418616975187765e-06,-0.7495799976911061,0.0007319569919717726,1.5,-1,0,0.0,0,2,-1.0,0
68,106,-1,0.21839080459770116,3.2810333672477277,0.06844117227899413,2.2833012287035497,0.027143405118953235,0.0,1,0,4.0,-1,0,4.0,-1
