z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayMode,branchingRatio,branchingRatioUncertainty,massExcess(keV),massExcessUncertainty,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,neutronSeparationEnergy,neutronSeparationEnergyUncertainty,protonSeparationEnergy,protonSeparationEnergyUncertainty,alpha,alphaUncertainty,deltaAlpha,deltaAlphaUncertainty,twoNeutronSeparationEnergy,twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy,twoProtonSeparationEnergyUncertainty,doubleBetaMinus,doubleBetaMinusUncertainty,doubleElectronCapture,doubleElectronCaptureUncertainty,electronCaptureOneProtonEmission,electronCaptureOneProtonEmissionUncertainty,betaMinusOneNeutronEmission,betaMinusOneNeutronEmissionUncertainty,betaMinusTwoNeutronEmission,betaMinusTwoNeutronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty,pairingGap,pairingGapUncertainty,firstExcitedStateEnergy,firstExcitedStateEnergyUncertainty,firstTwoPlusEnergy,firstTwoPlusEnergyUncertainty,firstThreeMinusEnergy,firstThreeMinusEnergyUncertainty,firstFourPlusEnergy,firstFourPlusEnergyUncertainty,firstFourPlusOverFirstTwoPlusEnergy,firstFourPlusOverFirstTwoPlusEnergyUncertainty,quadrupoleDeformation,quadrupoleDeformationUncertainty,BE4DBE2,BE4DBE2Uncertainty,thermalNeutronCapture,thermalNeutronFission,FY235U,FY235UUncertainty,FY239Pu,FY239PuUncertainty,FY252Cf,FY252CfUncertainty,FY238U,FY238UUncertainty,FY241U,FY241UUncertainty,cFY235U,cFY235UUncertainty,cFY239Pu,cFY239PuUncertainty,cFY252Cf,cFY252CfUncertainty,cFY238U,cFY238UUncertainty,cFY241U,cFY241UUncertainty,secondTwoPlusEnergy,secondTwoPlusEnergyUncertainty
60,101,161Nd,0,215,ms,76,,β⁻,100.0,,-42200.0,400.0,7850.0,400.0,-9740.0,640.0,-10700.0,640.0,,,,,-4720.0,565.0,510.0,399.0,,,,,14400.0,400.0,,,,,2590.0,400.0,-1810.0,565.0,8040.0,2.0,-1.02,2.0,617.0,280.0,,,,,,,,,,,,,,,,,6.15e-12,3.94e-12,1.12e-10,7.23e-11,7.3e-09,4.67e-09,1.73e-08,1.11e-08,,,6.15e-12,3.94e-12,1.12e-10,7.23e-11,7.3e-09,4.67e-09,1.74e-08,1.11e-08,,,,
60,102,162Nd,0,310,ms,20,0+,β⁻,100.0,,-39000.0,400.0,7030.0,500.0,,,,,,,,,-4890.0,565.0,515.0,399.0,,,,,15300.0,400.0,,,,,3000.0,400.0,-2250.0,565.0,8020.0,2.0,0.425,2.0,835.0,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,100,160Nd,0,439,ms,37,0+,β⁻,100.0,,-46700.0,46.5,6170.0,46.6,-10500.0,402.0,-11500.0,402.0,,,,,-4330.0,304.0,352.0,153.0,,,,,13500.0,46.6,,,-22600.0,502.0,1750.0,47.6,-3760.0,65.8,8060.0,0.291,0.824,0.291,752.0,165.0,,,,,,,,,,,,,,,,,5.03e-10,3.22e-10,5.05e-09,3.23e-09,1.73e-07,1.11e-07,3.77e-07,2.41e-07,,,5.04e-10,3.23e-10,5.05e-09,3.23e-09,1.73e-07,1.11e-07,3.77e-07,2.41e-07,,,,
60,89,149Nd,0,1.728,h,0.002,5/2-,β⁻,100.0,,-74300.0,2.05,1680.0,2.45,-3330.0,10.0,-4350.0,10.0,,,,,266.0,33.9,-438.0,16.9,,,,,2760.0,1.86,-7700.0,10.4,-11200.0,11.3,-5580.0,5.87,-11400.0,2.9,8250.0,0.0138,12.7,0.0138,1160.0,1.86,,,,,,,,,,,,,,,,,6.8e-05,4.35e-05,0.000498,0.000318,0.00058,0.000371,4.97e-06,3.18e-06,,,0.0108,0.000302,0.0121,0.00034,0.0271,0.000761,0.0162,0.00065,,,,
60,87,147Nd,0,11.12,d,0.07,5/2-,β⁻,100.0,,-78100.0,1.27,895.0,0.566,-2700.0,15.8,-3720.0,15.8,,,,,1030.0,2.21,55.3,1.2,,,,,1110.0,0.531,-6130.0,8.65,-9800.0,14.7,-6760.0,4.12,-13000.0,1.8,8280.0,0.00869,7.59,0.00869,1020.0,1.5,,,,,,,,,,,,,,,[object Object],,6.71e-07,4.3e-07,1.58e-05,1.01e-05,1.43e-05,9.18e-06,1.43e-08,9.15e-09,,,0.0224,0.000314,0.02,0.00056,0.0428,0.000856,0.0259,0.000362,,,,
60,96,156Nd,0,5.27,s,0.23,0+,β⁻,100.0,,-60200.0,1.3,3960.0,1.76,-8750.0,1.65,-9770.0,1.65,,,,,-3640.0,200.0,595.0,100.0,,,,,9150.0,8.62,-15300.0,300.0,-19700.0,300.0,-1330.0,4.89,-8070.0,1.84,8150.0,0.0084,1.89,0.0084,813.0,4.79,,,,,,,,,,,,,,,,,4.7e-05,3e-05,0.00016,0.000102,0.00105,0.000673,0.000468,0.000299,,,4.74e-05,3.03e-05,0.000161,0.000103,0.00107,0.000685,0.000521,0.000333,,,,
60,95,155Nd,0,8.9,s,0.2,(3/2-),β⁻,100.0,,-62200.0,9.15,4650.0,10.2,-6860.0,19.4,-7890.0,19.4,,,,,-3480.0,19.9,567.0,11.3,,,,,7900.0,9.24,-14500.0,300.0,-17300.0,200.0,-2080.0,26.6,-7770.0,12.9,8170.0,0.0591,1.27,0.0591,607.0,6.53,,,,,,,,,,,,,,,,,0.000175,0.000112,0.000507,0.000324,0.00243,0.00155,0.000921,0.000589,,,0.000182,0.000116,0.000521,0.000333,0.00254,0.00163,0.00122,0.000785,,,,
60,94,154Nd,0,25.9,s,0.2,0+,β⁻,100.0,,-65500.0,1.02,2680.0,25.0,-7720.0,100.0,-8740.0,100.0,,,,,-3150.0,11.7,530.0,6.35,,,,,6870.0,1.65,-13300.0,200.0,-17900.0,200.0,-3000.0,9.12,-10400.0,1.44,8190.0,0.0067,4.34,0.0067,772.0,4.83,,,,,,,,,,,0.258,0.0336,,,,,0.00058,0.000371,0.0015,0.000964,0.00418,0.00268,0.00112,0.00072,,,0.000631,0.000202,0.0016,0.00102,0.00472,0.00302,0.00208,0.000166,,,,
60,93,153Nd,0,31.6,s,1.0,(3/2)-,β⁻,100.0,,-67300.0,2.74,3310.0,9.35,-5760.0,12.1,-6780.0,12.1,,,,,-3080.0,10.6,656.0,5.9,,,,,5220.0,2.92,-12400.0,200.0,-15600.0,200.0,-4140.0,26.0,-10000.0,3.88,8200.0,0.018,3.43,0.018,534.0,12.4,,,,,,,,,,,,,,,,,0.0011,0.000499,0.0024,0.00153,0.00798,0.00359,0.00111,0.000712,,,0.00149,0.000239,0.0029,0.0013,0.0106,0.00342,0.00411,0.000329,,,,
60,92,152Nd,0,11.4,m,0.2,0+,β⁻,100.0,,-70100.0,24.4,1100.0,18.5,-6390.0,30.7,-7410.0,30.7,,,,,-2170.0,26.9,270.0,18.6,,,,,4610.0,24.4,-11100.0,202.0,-16200.0,30.2,-4830.0,24.8,-12600.0,34.6,8220.0,0.161,7.24,0.161,1010.0,17.3,,,,,,,,,,,0.347,0.00985,1.3,0.0987,,,0.0014,0.000634,0.0037,0.00118,0.00828,0.00529,0.000537,0.000343,,,0.00264,0.000105,0.00542,0.000596,0.0159,0.00719,0.00529,0.000211,,,,
60,91,151Nd,0,12.44,m,0.07,3/2+,β⁻,100.0,,-70900.0,1.13,2440.0,4.47,-4160.0,11.6,-5180.0,11.6,,,,,-1350.0,8.64,-159.0,4.35,,,,,3630.0,0.243,-9710.0,17.7,-13300.0,11.7,-5410.0,20.0,-11000.0,1.6,8230.0,0.0075,10.0,0.0075,971.0,12.2,,,,,,,,,,,,,,,,,0.000795,0.000508,0.00291,0.00186,0.0056,0.00358,0.000178,0.000114,,,0.00418,0.000167,0.00727,0.000291,0.0192,0.00077,0.00799,0.000319,,,,
60,99,159Nd,0,485,ms,+39-20,,β⁻,100.0,,-49700.0,29.8,6830.0,31.4,-8950.0,401.0,-9970.0,401.0,,,,,-4360.0,301.0,534.0,151.0,,,,,12400.0,30.3,-18300.0,501.0,-20400.0,401.0,1310.0,29.8,-3560.0,42.1,8080.0,0.187,-1.06,0.187,555.0,31.4,,,,,,,,,,,,,,,,,1.76e-08,1.13e-08,1.18e-07,7.61e-08,2.53e-06,1.62e-06,4.37e-06,2.79e-06,,,1.76e-08,1.13e-08,1.18e-07,7.61e-08,2.53e-06,1.62e-06,4.39e-06,2.8e-06,,,,
60,98,158Nd,0,820,ms,+15-36,0+,β⁻,100.0,,-53800.0,1.3,5270.0,1.57,-9680.0,300.0,-10700.0,300.0,,,,,-4040.0,200.0,535.0,100.0,,,,,11400.0,4.95,-17200.0,400.0,-21100.0,400.0,390.0,7.12,-5810.0,1.84,8110.0,0.0083,1.19,0.0083,726.0,14.9,,,,,,,,,,,,,,,,,5.18e-07,3.32e-07,2.18e-06,1.4e-06,2.27e-05,1.45e-05,3.34e-05,2.14e-05,,,5.18e-07,3.32e-07,2.18e-06,1.4e-06,2.28e-05,1.45e-05,3.39e-05,2.17e-05,,,,
60,97,157Nd,0,1.16,s,0.02,(5/2-),β⁻,100.0,,-56400.0,2.13,5800.0,7.32,-8050.0,3.82,-9080.0,3.82,,,,,-4000.0,200.0,703.0,100.0,,,,,10100.0,4.92,-16500.0,400.0,-18900.0,300.0,-398.0,2.44,-5690.0,3.02,8130.0,0.0136,-0.775,0.0136,524.0,1.77,,,,,,,,,,,,,,,,,4.84e-06,3.1e-06,2.18e-05,1.39e-05,0.000176,0.000113,0.00016,0.000102,,,4.85e-06,3.11e-06,2.18e-05,1.4e-05,0.000178,0.000113,0.000167,0.000107,,,,
61,86,147Pm,0,2.62344,y,0.00022,7/2+,β⁻,100.0,,-79000.0,1.28,224.0,0.294,-895.0,0.566,-1910.0,0.566,,,,,1600.0,1.46,181.0,0.907,,,,,-1490.0,2.29,-3590.0,15.8,-9650.0,34.3,-6110.0,2.85,-14500.0,1.82,8280.0,0.0088,8.2,0.0088,881.0,3.67,,,,,,,,,,,,,,,[object Object],,2.48e-11,1.59e-11,6.48e-09,4.15e-09,7.41e-09,4.74e-09,2.85e-13,1.82e-13,,,0.0224,0.000224,0.02,0.0004,0.0428,0.000856,0.0259,0.000259,,,,
61,85,146Pm,0,5.53,y,0.05,3-,β⁻,34.3,1.5,-79400.0,4.27,1540.0,3.0,1470.0,4.11,449.0,4.11,,,,,1900.0,4.32,164.0,4.09,,,,,-2330.0,6.59,-2780.0,34.6,-7110.0,8.15,-6870.0,4.13,-13600.0,6.04,8280.0,0.0293,2.67,0.0293,700.0,3.39,,,,,,,,,,,,,,,,,4.49e-12,2.87e-12,7.88e-11,5.04e-11,1.58e-10,1.01e-10,0.0,0.0,,,4.49e-12,2.87e-12,7.88e-11,5.04e-11,1.58e-10,1.01e-10,0.0,0.0,,,,
61,89,150Pm,0,2.698,h,0.015,(1-),β⁻,100.0,,-73500.0,20.0,3450.0,20.0,82.6,20.0,-939.0,20.0,,,,,651.0,39.7,-608.0,22.2,,,,,1190.0,20.9,-5290.0,21.9,-9840.0,22.3,-4530.0,20.0,-10400.0,28.3,8240.0,0.133,16.6,0.133,1120.0,14.3,,,,,,,,,,,,,,,,,2.99e-07,1.91e-07,1.14e-05,7.35e-06,1.92e-05,1.23e-05,3.29e-08,2.1e-08,,,2.99e-07,1.91e-07,1.14e-05,7.35e-06,1.92e-05,1.23e-05,3.29e-08,2.1e-08,,,,
61,88,149Pm,0,53.08,h,0.05,7/2+,β⁻,100.0,,-76000.0,2.18,1070.0,1.87,-1680.0,2.45,-2710.0,2.45,,,,,1130.0,7.33,-432.0,3.79,,,,,376.0,4.21,-5020.0,10.1,-10800.0,15.1,-4790.0,2.02,-12900.0,3.08,8260.0,0.0147,15.4,0.0147,832.0,10.5,,,,,,,,,,,,,,,[object Object],,3.86e-08,2.47e-08,2.42e-06,1.55e-06,2.85e-06,1.83e-06,1.18e-09,7.55e-10,,,0.0108,0.000216,0.0121,0.00017,0.0271,0.000761,0.0162,0.000325,,,,
